OrderID,CustomerID,RestaurantID,OrderDate,TotalAmount
O924,C510,R189,2025-01-01,420
O1288,C353,R160,2025-01-01,850
O2570,C932,R179,2025-01-01,1240
O2769,C555,R168,2025-01-01,820
O3420,C306,R172,2025-01-01,640
O3927,C1684,R202,2025-01-01,980
O1530,C440,R102,2025-01-02,390
O1697,C1511,R129,2025-01-02,1290
O2164,C889,R221,2025-01-02,620
O2462,C1576,R192,2025-01-02,420
O3618,C347,R181,2025-01-02,700
O730,C489,R132,2025-01-03,1230
O1319,C1043,R103,2025-01-03,500
O1498,C1581,R238,2025-01-03,1030
O1991,C1069,R196,2025-01-03,340
O2099,C1132,R163,2025-01-03,620
O2708,C495,R197,2025-01-03,530
O2743,C1688,R139,2025-01-03,480
O3024,C1520,R219,2025-01-03,620
O3277,C1077,R206,2025-01-03,690
O3335,C266,R137,2025-01-03,820
O4350,C1174,R185,2025-01-03,460
O534,C1203,R233,2025-01-04,1090
O739,C1505,R134,2025-01-04,690
O2187,C1200,R127,2025-01-04,290
O2322,C300,R170,2025-01-04,240
O3225,C410,R208,2025-01-04,430
O3609,C1441,R235,2025-01-04,1050
O3733,C902,R239,2025-01-04,860
O1395,C1636,R171,2025-01-05,230
O2511,C1163,R207,2025-01-05,360
O2514,C567,R234,2025-01-05,1030
O2704,C1293,R155,2025-01-05,980
O3107,C889,R163,2025-01-05,850
O4182,C1418,R146,2025-01-05,300
O4370,C460,R229,2025-01-05,720
O585,C910,R218,2025-01-06,600
O588,C1601,R203,2025-01-06,640
O641,C1465,R101,2025-01-06,980
O1426,C483,R162,2025-01-06,180
O2173,C1086,R130,2025-01-06,1500
O2392,C1065,R212,2025-01-06,740
O2610,C657,R120,2025-01-06,420
O3461,C1503,R102,2025-01-06,400
O3802,C1335,R177,2025-01-06,440
O3947,C601,R139,2025-01-06,620
O1567,C737,R154,2025-01-07,660
O1568,C244,R144,2025-01-07,970
O1638,C409,R224,2025-01-07,1000
O1886,C761,R229,2025-01-07,260
O2124,C299,R119,2025-01-07,320
O2467,C1522,R123,2025-01-07,640
O2799,C1549,R185,2025-01-07,580
O3184,C854,R162,2025-01-07,180
O3249,C1137,R228,2025-01-07,230
O3508,C475,R143,2025-01-07,560
O3871,C1466,R105,2025-01-07,660
O3969,C214,R208,2025-01-07,1490
O4052,C1138,R195,2025-01-07,520
O4096,C961,R240,2025-01-07,630
O4333,C1385,R246,2025-01-07,180
O568,C351,R178,2025-01-08,600
O1318,C1303,R228,2025-01-08,1060
O1377,C1369,R205,2025-01-08,120
O1774,C728,R146,2025-01-08,670
O1958,C253,R246,2025-01-08,370
O1998,C1132,R240,2025-01-08,1010
O2039,C746,R143,2025-01-08,740
O2259,C693,R152,2025-01-08,510
O2895,C603,R128,2025-01-08,330
O3108,C1331,R173,2025-01-08,850
O3896,C501,R186,2025-01-08,430
O4061,C216,R210,2025-01-08,710
O4233,C707,R250,2025-01-08,600
O638,C371,R245,2025-01-09,440
O1873,C827,R241,2025-01-09,510
O2027,C829,R122,2025-01-09,310
O2268,C771,R227,2025-01-09,720
O1375,C889,R141,2025-01-10,220
O1755,C347,R211,2025-01-10,470
O2010,C1668,R219,2025-01-10,470
O2150,C1205,R120,2025-01-10,430
O2327,C716,R129,2025-01-10,340
O2356,C433,R171,2025-01-10,410
O3117,C1299,R232,2025-01-10,80
O3190,C784,R174,2025-01-10,1130
O3201,C1234,R126,2025-01-10,260
O3479,C977,R129,2025-01-10,680
O4036,C218,R139,2025-01-10,410
O4326,C581,R117,2025-01-10,1120
O2699,C755,R132,2025-01-11,1140
O2727,C678,R141,2025-01-11,900
O3224,C524,R192,2025-01-11,490
O3399,C305,R156,2025-01-11,830
O3747,C239,R115,2025-01-11,1110
O3769,C1615,R122,2025-01-11,160
O483,C223,R112,2025-01-12,950
O645,C1394,R248,2025-01-12,290
O1351,C494,R136,2025-01-12,970
O1394,C458,R165,2025-01-12,310
O1644,C689,R145,2025-01-12,110
O1875,C721,R190,2025-01-12,720
O2407,C356,R148,2025-01-12,220
O2584,C591,R157,2025-01-12,1780
O3327,C601,R192,2025-01-12,540
O1352,C1013,R150,2025-01-13,770
O2353,C1192,R199,2025-01-13,530
O2405,C1112,R242,2025-01-13,600
O3777,C1532,R231,2025-01-13,90
O4234,C498,R229,2025-01-13,1010
O421,C746,R219,2025-01-14,420
O2204,C473,R187,2025-01-14,580
O2314,C582,R128,2025-01-14,1110
O2804,C770,R200,2025-01-14,440
O3520,C252,R192,2025-01-14,360
O3677,C732,R117,2025-01-14,750
O3958,C723,R226,2025-01-14,1000
O1161,C267,R195,2025-01-15,600
O1771,C1392,R228,2025-01-15,300
O2243,C1486,R209,2025-01-15,340
O3145,C1522,R213,2025-01-15,280
O3424,C215,R152,2025-01-15,610
O3444,C1355,R234,2025-01-15,770
O1672,C1022,R164,2025-01-16,860
O2016,C1082,R190,2025-01-16,460
O2478,C1423,R185,2025-01-16,530
O3043,C987,R208,2025-01-16,90
O3313,C657,R210,2025-01-16,170
O3345,C792,R215,2025-01-16,240
O908,C1140,R240,2025-01-17,1020
O1061,C1556,R105,2025-01-17,490
O2035,C1089,R109,2025-01-17,370
O2851,C1271,R205,2025-01-17,910
O2902,C849,R209,2025-01-17,210
O3417,C476,R124,2025-01-17,1320
O4361,C296,R229,2025-01-17,540
O1025,C1039,R179,2025-01-18,230
O1980,C1475,R236,2025-01-18,500
O2095,C477,R248,2025-01-18,1000
O2130,C615,R176,2025-01-18,380
O2489,C1576,R157,2025-01-18,1150
O2495,C575,R101,2025-01-18,680
O2892,C1608,R107,2025-01-18,960
O3338,C629,R183,2025-01-18,820
O4229,C269,R123,2025-01-18,270
O1505,C1254,R247,2025-01-19,650
O3233,C1055,R183,2025-01-19,460
O3765,C1560,R190,2025-01-19,240
O4165,C629,R213,2025-01-19,270
O4242,C1263,R189,2025-01-19,1050
O1784,C282,R191,2025-01-20,560
O2194,C1689,R207,2025-01-20,490
O2656,C856,R238,2025-01-20,880
O2975,C223,R155,2025-01-20,780
O3521,C383,R221,2025-01-20,600
O3810,C1427,R117,2025-01-20,510
O4363,C994,R233,2025-01-20,450
O499,C1374,R107,2025-01-21,390
O1628,C1334,R153,2025-01-21,700
O2242,C857,R158,2025-01-21,520
O2285,C436,R134,2025-01-21,550
O2709,C1032,R155,2025-01-21,460
O2780,C401,R152,2025-01-21,540
O3175,C1385,R163,2025-01-21,300
O3286,C867,R178,2025-01-21,290
O3495,C804,R243,2025-01-21,380
O3905,C768,R178,2025-01-21,600
O4170,C392,R238,2025-01-21,840
O435,C458,R106,2025-01-22,1030
O530,C1584,R116,2025-01-22,1130
O622,C490,R120,2025-01-22,440
O729,C456,R164,2025-01-22,330
O1119,C586,R216,2025-01-22,170
O1146,C849,R103,2025-01-22,740
O1290,C1133,R176,2025-01-22,510
O1329,C1400,R180,2025-01-22,380
O1604,C1677,R126,2025-01-22,1500
O1835,C592,R221,2025-01-22,1560
O2175,C1126,R203,2025-01-22,490
O2238,C1121,R237,2025-01-22,90
O2346,C334,R214,2025-01-22,830
O3533,C512,R156,2025-01-22,1440
O603,C1339,R186,2025-01-23,100
O717,C1321,R104,2025-01-23,370
O1200,C462,R125,2025-01-23,330
O1432,C1479,R139,2025-01-23,1200
O2377,C1191,R147,2025-01-23,300
O2691,C1358,R147,2025-01-23,200
O461,C983,R237,2025-01-24,360
O770,C1649,R171,2025-01-24,410
O1234,C701,R159,2025-01-24,530
O1951,C266,R157,2025-01-24,1220
O1979,C940,R126,2025-01-24,420
O2096,C1314,R130,2025-01-24,550
O2239,C790,R194,2025-01-24,740
O2823,C877,R107,2025-01-24,390
O3177,C1248,R163,2025-01-24,750
O3728,C664,R142,2025-01-24,230
O3829,C867,R166,2025-01-24,100
O514,C471,R213,2025-01-25,1190
O678,C897,R202,2025-01-25,1250
O1643,C679,R140,2025-01-25,490
O2706,C1641,R149,2025-01-25,920
O2905,C922,R146,2025-01-25,520
O2986,C1690,R183,2025-01-25,760
O3433,C287,R154,2025-01-25,1110
O4041,C1692,R241,2025-01-25,510
O4144,C1467,R237,2025-01-25,570
O1881,C738,R237,2025-01-26,480
O2082,C336,R119,2025-01-26,450
O2504,C1585,R104,2025-01-26,170
O2548,C816,R207,2025-01-26,340
O2595,C1301,R233,2025-01-26,570
O2825,C533,R167,2025-01-26,120
O3524,C754,R103,2025-01-26,500
O4139,C1295,R209,2025-01-26,1020
O775,C616,R176,2025-01-27,400
O1021,C451,R132,2025-01-27,1140
O1696,C1355,R191,2025-01-27,160
O2093,C753,R202,2025-01-27,570
O3359,C737,R177,2025-01-27,160
O3754,C745,R179,2025-01-27,750
O550,C225,R223,2025-01-28,350
O872,C1618,R109,2025-01-28,600
O914,C292,R246,2025-01-28,1370
O1208,C1113,R210,2025-01-28,940
O1488,C1629,R213,2025-01-28,720
O3576,C1398,R131,2025-01-28,1060
O4087,C1532,R143,2025-01-28,1340
O427,C846,R150,2025-01-29,880
O675,C613,R204,2025-01-29,230
O987,C891,R205,2025-01-29,130
O1658,C1624,R172,2025-01-29,1240
O2102,C682,R171,2025-01-29,1050
O2319,C407,R150,2025-01-29,730
O3685,C1342,R108,2025-01-29,170
O3808,C1147,R156,2025-01-29,550
O3943,C1262,R170,2025-01-29,240
O3975,C604,R235,2025-01-29,1130
O4398,C1051,R132,2025-01-29,670
O2827,C1642,R178,2025-01-30,640
O2901,C1512,R162,2025-01-30,490
O3366,C291,R219,2025-01-30,690
O3672,C372,R225,2025-01-30,1080
O3699,C474,R160,2025-01-30,760
O724,C1256,R223,2025-01-31,300
O831,C1374,R244,2025-01-31,1760
O1001,C1111,R214,2025-01-31,1580
O1276,C1455,R226,2025-01-31,660
O1408,C498,R113,2025-01-31,450
O1627,C714,R182,2025-01-31,780
O2169,C770,R115,2025-01-31,310
O2686,C733,R121,2025-01-31,760
O3065,C901,R229,2025-01-31,780
O3578,C1439,R168,2025-01-31,860
O3818,C358,R190,2025-01-31,770
O3819,C624,R158,2025-01-31,1210
O807,C841,R177,2025-02-01,230
O1465,C1488,R102,2025-02-01,1040
O2445,C540,R139,2025-02-01,260
O2469,C1162,R192,2025-02-01,930
O2472,C1622,R216,2025-02-01,530
O3365,C751,R214,2025-02-01,280
O3506,C1007,R156,2025-02-01,510
O3856,C880,R236,2025-02-01,100
O3950,C1014,R232,2025-02-01,80
O785,C684,R209,2025-02-02,360
O1236,C420,R161,2025-02-02,380
O1654,C816,R129,2025-02-02,800
O1661,C1401,R184,2025-02-02,440
O1728,C1084,R239,2025-02-02,1630
O1840,C388,R150,2025-02-02,1270
O1968,C1246,R124,2025-02-02,900
O2043,C342,R110,2025-02-02,290
O3710,C1694,R202,2025-02-02,610
O915,C1590,R214,2025-02-03,830
O938,C841,R147,2025-02-03,360
O1656,C1315,R158,2025-02-03,230
O1756,C1314,R227,2025-02-03,870
O4346,C1001,R206,2025-02-03,920
O1243,C230,R140,2025-02-04,1240
O1286,C686,R132,2025-02-04,1200
O2063,C493,R169,2025-02-04,670
O2261,C1443,R239,2025-02-04,470
O2395,C1488,R136,2025-02-04,240
O2509,C922,R158,2025-02-04,460
O2792,C817,R106,2025-02-04,420
O3888,C1119,R220,2025-02-04,430
O450,C681,R183,2025-02-05,680
O659,C621,R196,2025-02-05,250
O893,C1554,R231,2025-02-05,580
O988,C1567,R144,2025-02-05,1550
O1596,C1115,R164,2025-02-05,1160
O1715,C1119,R183,2025-02-05,990
O2316,C350,R249,2025-02-05,470
O2481,C1611,R121,2025-02-05,1060
O2668,C1128,R139,2025-02-05,740
O694,C1328,R249,2025-02-06,950
O741,C1021,R155,2025-02-06,920
O1506,C489,R162,2025-02-06,480
O1558,C1207,R185,2025-02-06,970
O1709,C777,R164,2025-02-06,710
O2477,C826,R208,2025-02-06,750
O2832,C744,R168,2025-02-06,530
O2867,C1630,R151,2025-02-06,390
O4387,C1170,R201,2025-02-06,850
O1649,C1492,R166,2025-02-07,500
O1806,C1192,R225,2025-02-07,1670
O2337,C597,R115,2025-02-07,1050
O3038,C640,R223,2025-02-07,160
O4299,C1468,R203,2025-02-07,260
O541,C398,R150,2025-02-08,940
O656,C277,R183,2025-02-08,790
O1265,C736,R168,2025-02-08,1170
O1362,C1305,R225,2025-02-08,640
O1862,C992,R152,2025-02-08,570
O1937,C1626,R247,2025-02-08,370
O1942,C1440,R119,2025-02-08,370
O2191,C342,R169,2025-02-08,660
O2484,C284,R210,2025-02-08,850
O2955,C1026,R148,2025-02-08,340
O4309,C500,R182,2025-02-08,500
O529,C416,R198,2025-02-09,640
O595,C834,R248,2025-02-09,1660
O828,C1233,R191,2025-02-09,380
O1670,C1173,R151,2025-02-09,420
O1963,C1448,R192,2025-02-09,1020
O2336,C622,R247,2025-02-09,370
O2383,C922,R152,2025-02-09,210
O2795,C295,R118,2025-02-09,720
O3250,C1123,R102,2025-02-09,320
O634,C220,R147,2025-02-10,460
O664,C1609,R117,2025-02-10,1180
O857,C1467,R126,2025-02-10,920
O985,C1446,R161,2025-02-10,560
O1439,C545,R160,2025-02-10,1130
O2145,C701,R240,2025-02-10,620
O2246,C1576,R244,2025-02-10,1220
O2434,C371,R149,2025-02-10,380
O2696,C936,R121,2025-02-10,980
O2937,C1434,R169,2025-02-10,140
O3430,C1039,R197,2025-02-10,470
O4316,C405,R181,2025-02-10,700
O4376,C1540,R156,2025-02-10,680
O782,C572,R225,2025-02-11,710
O1118,C1650,R228,2025-02-11,770
O1143,C382,R107,2025-02-11,340
O1522,C1020,R210,2025-02-11,570
O2126,C1671,R189,2025-02-11,310
O2471,C635,R234,2025-02-11,950
O2605,C789,R209,2025-02-11,700
O2915,C964,R180,2025-02-11,140
O2934,C1555,R116,2025-02-11,660
O2965,C1264,R181,2025-02-11,880
O3138,C1560,R230,2025-02-11,950
O4028,C275,R225,2025-02-11,320
O1092,C952,R248,2025-02-12,180
O2077,C488,R218,2025-02-12,400
O2281,C1168,R171,2025-02-12,350
O2575,C649,R220,2025-02-12,1100
O2676,C1666,R102,2025-02-12,570
O4032,C276,R169,2025-02-12,300
O428,C1276,R231,2025-02-13,860
O497,C735,R222,2025-02-13,180
O885,C588,R139,2025-02-13,920
O1086,C1498,R155,2025-02-13,300
O1384,C1248,R249,2025-02-13,760
O1853,C702,R184,2025-02-13,440
O3311,C931,R222,2025-02-13,170
O3632,C590,R106,2025-02-13,160
O3655,C1667,R188,2025-02-13,2030
O3722,C554,R175,2025-02-13,450
O4177,C538,R183,2025-02-13,690
O526,C1065,R194,2025-02-14,490
O761,C1317,R185,2025-02-14,460
O1341,C1652,R155,2025-02-14,150
O1402,C655,R164,2025-02-14,270
O1640,C1411,R210,2025-02-14,970
O1743,C593,R231,2025-02-14,90
O2782,C378,R249,2025-02-14,240
O2936,C651,R245,2025-02-14,1190
O3487,C1108,R247,2025-02-14,510
O3784,C1544,R203,2025-02-14,450
O4024,C1333,R149,2025-02-14,630
O4025,C309,R231,2025-02-14,280
O1044,C1486,R198,2025-02-15,1010
O1163,C395,R230,2025-02-15,1300
O1338,C720,R156,2025-02-15,470
O1447,C1346,R226,2025-02-15,760
O1532,C1222,R189,2025-02-15,580
O1540,C1226,R114,2025-02-15,360
O2998,C1666,R116,2025-02-15,510
O3261,C667,R116,2025-02-15,130
O3267,C749,R137,2025-02-15,320
O3454,C739,R152,2025-02-15,450
O3464,C1689,R104,2025-02-15,470
O4013,C733,R128,2025-02-15,1260
O4345,C1217,R203,2025-02-15,860
O459,C1363,R112,2025-02-16,220
O476,C278,R103,2025-02-16,360
O620,C927,R192,2025-02-16,480
O829,C914,R168,2025-02-16,450
O1790,C781,R153,2025-02-16,730
O2505,C786,R155,2025-02-16,630
O2724,C619,R131,2025-02-16,2010
O3042,C1447,R116,2025-02-16,560
O3567,C1646,R131,2025-02-16,1360
O3649,C267,R233,2025-02-16,260
O3712,C1490,R160,2025-02-16,610
O3919,C1228,R139,2025-02-16,700
O3941,C1379,R118,2025-02-16,500
O533,C1341,R128,2025-02-17,500
